Unnamed: 0,CWE,CVE,CVSS_V3_baseScore,CVSS_V3_exploitabilityScore,CVSS_V3_attackComplexity,CVSS_V3_privilegesRequired,CVSS_V3_userInteraction
11830,CWE-20,CVE-2018-4046,5.5,1.8,LOW,LOW,NONE
11831,CWE-20,CVE-2018-4047,5.5,1.8,LOW,LOW,NONE
11832,CWE-668,CVE-2018-4048,7.8,1.8,LOW,LOW,NONE
11833,CWE-732,CVE-2018-4049,7.8,1.8,LOW,LOW,NONE
11834,CWE-732,CVE-2018-4050,7.8,1.8,LOW,LOW,NONE
11835,CWE-732,CVE-2018-4051,5.5,1.8,LOW,LOW,NONE
11836,CWE-200,CVE-2018-4052,5.5,1.8,LOW,LOW,NONE
11837,CWE-20,CVE-2018-4053,5.5,1.8,LOW,LOW,NONE
11838,CWE-20,CVE-2018-4054,7.8,1.8,LOW,LOW,NONE
11839,CWE-20,CVE-2018-4055,5.5,1.8,LOW,LOW,NONE
11840,CWE-89,CVE-2018-4056,9.8,3.9,LOW,NONE,NONE
11841,NVD-CWE-noinfo,CVE-2018-4058,7.7,3.1,LOW,LOW,NONE
11842,CWE-798,CVE-2018-4059,9.8,3.9,LOW,NONE,NONE
11843,CWE-78,CVE-2018-4061,8.8,2.8,LOW,LOW,NONE
11844,CWE-798,CVE-2018-4062,8.1,2.2,HIGH,NONE,NONE
11845,CWE-434,CVE-2018-4063,8.8,2.8,LOW,LOW,NONE
11846,CWE-287,CVE-2018-4064,7.1,2.8,LOW,LOW,NONE
11847,CWE-79,CVE-2018-4065,6.1,2.8,LOW,NONE,REQUIRED
11848,CWE-352,CVE-2018-4066,8.8,2.8,LOW,NONE,REQUIRED
11849,CWE-200,CVE-2018-4067,6.5,2.8,LOW,LOW,NONE
11850,CWE-200,CVE-2018-4068,5.3,3.9,LOW,NONE,NONE
11851,CWE-200,CVE-2018-4069,7.5,3.9,LOW,NONE,NONE
11852,CWE-200,CVE-2018-4070,8.8,2.8,LOW,LOW,NONE
11853,CWE-200,CVE-2018-4071,8.8,2.8,LOW,LOW,NONE
11854,CWE-732,CVE-2018-4072,8.8,2.8,LOW,LOW,NONE
11855,CWE-732,CVE-2018-4073,8.8,2.8,LOW,LOW,NONE
11856,CWE-119,CVE-2018-4082,7.8,1.8,LOW,NONE,REQUIRED
11857,CWE-119,CVE-2018-4083,7.8,1.8,LOW,NONE,REQUIRED
11858,CWE-200,CVE-2018-4084,5.5,1.8,LOW,NONE,REQUIRED
11859,CWE-119,CVE-2018-4085,8.8,2.8,LOW,NONE,REQUIRED
11860,CWE-295,CVE-2018-4086,5.9,2.2,HIGH,NONE,NONE
11861,CWE-119,CVE-2018-4087,7.8,1.8,LOW,NONE,REQUIRED
11862,CWE-119,CVE-2018-4088,8.8,2.8,LOW,NONE,REQUIRED
11863,CWE-119,CVE-2018-4089,8.8,2.8,LOW,NONE,REQUIRED
11864,CWE-200,CVE-2018-4090,5.5,1.8,LOW,NONE,REQUIRED
11865,NVD-CWE-noinfo,CVE-2018-4091,10.0,3.9,LOW,NONE,NONE
11866,CWE-362,CVE-2018-4092,4.7,1.0,HIGH,NONE,REQUIRED
11867,CWE-200,CVE-2018-4093,5.5,1.8,LOW,NONE,REQUIRED
11868,CWE-119,CVE-2018-4094,7.8,1.8,LOW,NONE,REQUIRED
11869,CWE-119,CVE-2018-4095,7.8,1.8,LOW,NONE,REQUIRED
11870,CWE-119,CVE-2018-4096,8.8,2.8,LOW,NONE,REQUIRED
11871,CWE-20,CVE-2018-4097,7.8,1.8,LOW,NONE,REQUIRED
11872,CWE-119,CVE-2018-4098,7.8,1.8,LOW,NONE,REQUIRED
11873,CWE-400,CVE-2018-4100,7.5,3.9,LOW,NONE,NONE
11874,CWE-119,CVE-2018-4101,8.8,2.8,LOW,NONE,REQUIRED
11875,CWE-20,CVE-2018-4102,6.5,2.8,LOW,NONE,REQUIRED
11876,CWE-200,CVE-2018-4104,5.5,1.8,LOW,NONE,REQUIRED
11877,CWE-20,CVE-2018-4105,9.8,3.9,LOW,NONE,NONE
11878,CWE-74,CVE-2018-4106,8.8,2.8,LOW,NONE,REQUIRED
11879,CWE-20,CVE-2018-4107,6.5,2.8,LOW,NONE,REQUIRED
11880,CWE-20,CVE-2018-4108,9.8,3.9,LOW,NONE,NONE
11881,CWE-119,CVE-2018-4109,7.8,1.8,LOW,NONE,REQUIRED
11882,NVD-CWE-noinfo,CVE-2018-4110,9.8,3.9,LOW,NONE,NONE
11883,CWE-347,CVE-2018-4111,5.9,2.2,HIGH,NONE,NONE
11884,CWE-59,CVE-2018-4112,5.5,1.8,LOW,NONE,REQUIRED
11885,CWE-617,CVE-2018-4113,6.5,2.8,LOW,NONE,REQUIRED
11886,CWE-119,CVE-2018-4114,8.8,2.8,LOW,NONE,REQUIRED
11887,CWE-281,CVE-2018-4115,9.8,3.9,LOW,NONE,NONE
11888,CWE-20,CVE-2018-4116,6.5,2.8,LOW,NONE,REQUIRED
11889,CWE-200,CVE-2018-4117,6.5,2.8,LOW,NONE,REQUIRED
11890,CWE-119,CVE-2018-4118,8.8,2.8,LOW,NONE,REQUIRED
11891,CWE-119,CVE-2018-4119,8.8,2.8,LOW,NONE,REQUIRED
11892,CWE-119,CVE-2018-4120,8.8,2.8,LOW,NONE,REQUIRED
11893,CWE-119,CVE-2018-4121,8.8,2.8,LOW,NONE,REQUIRED
11894,CWE-119,CVE-2018-4122,8.8,2.8,LOW,NONE,REQUIRED
11895,CWE-200,CVE-2018-4123,2.4,0.9,LOW,NONE,NONE
11896,CWE-119,CVE-2018-4124,9.8,3.9,LOW,NONE,NONE
11897,CWE-119,CVE-2018-4125,8.8,2.8,LOW,NONE,REQUIRED
11898,CWE-119,CVE-2018-4126,7.8,1.8,LOW,NONE,REQUIRED
11899,CWE-119,CVE-2018-4127,8.8,2.8,LOW,NONE,REQUIRED
11900,CWE-119,CVE-2018-4128,8.8,2.8,LOW,NONE,REQUIRED
11901,CWE-119,CVE-2018-4129,8.8,2.8,LOW,NONE,REQUIRED
11902,CWE-119,CVE-2018-4130,8.8,2.8,LOW,NONE,REQUIRED
11903,NVD-CWE-noinfo,CVE-2018-4131,7.8,1.8,LOW,NONE,REQUIRED
11904,CWE-119,CVE-2018-4132,7.8,1.8,LOW,NONE,REQUIRED
11905,CWE-79,CVE-2018-4133,6.1,2.8,LOW,NONE,REQUIRED
11906,CWE-20,CVE-2018-4134,8.8,2.8,LOW,NONE,REQUIRED
11907,CWE-119,CVE-2018-4135,7.8,1.8,LOW,NONE,REQUIRED
11908,CWE-125,CVE-2018-4136,7.8,1.8,LOW,NONE,REQUIRED
11909,CWE-200,CVE-2018-4137,7.5,3.9,LOW,NONE,NONE
11910,CWE-200,CVE-2018-4138,5.5,1.8,LOW,NONE,REQUIRED
11911,CWE-119,CVE-2018-4139,7.8,1.8,LOW,NONE,REQUIRED
11912,CWE-476,CVE-2018-4140,7.5,3.9,LOW,NONE,NONE
11913,CWE-200,CVE-2018-4141,5.5,1.8,LOW,NONE,REQUIRED
11914,CWE-20,CVE-2018-4142,7.5,3.9,LOW,NONE,NONE
11915,CWE-119,CVE-2018-4143,7.8,1.8,LOW,NONE,REQUIRED
11916,CWE-119,CVE-2018-4144,7.8,1.8,LOW,NONE,REQUIRED
11917,CWE-119,CVE-2018-4145,8.8,2.8,LOW,NONE,REQUIRED
11918,CWE-119,CVE-2018-4146,6.5,2.8,LOW,NONE,REQUIRED
11919,CWE-119,CVE-2018-4147,9.8,3.9,LOW,NONE,NONE
11920,CWE-119,CVE-2018-4148,9.8,3.9,LOW,NONE,NONE
11921,CWE-20,CVE-2018-4149,8.8,2.8,LOW,NONE,REQUIRED
11922,CWE-119,CVE-2018-4150,7.8,1.8,LOW,NONE,REQUIRED
11923,CWE-362,CVE-2018-4151,7.0,1.0,HIGH,NONE,REQUIRED
11924,CWE-362,CVE-2018-4152,7.0,1.0,HIGH,NONE,REQUIRED
11925,CWE-74,CVE-2018-4153,5.9,2.2,HIGH,NONE,NONE
11926,CWE-362,CVE-2018-4154,7.0,1.0,HIGH,NONE,REQUIRED
11927,CWE-362,CVE-2018-4155,7.0,1.0,HIGH,NONE,REQUIRED
11928,CWE-362,CVE-2018-4156,7.0,1.0,HIGH,NONE,REQUIRED
11929,CWE-362,CVE-2018-4157,7.0,1.0,HIGH,NONE,REQUIRED
11930,CWE-362,CVE-2018-4158,7.0,1.0,HIGH,NONE,REQUIRED
11931,CWE-200,CVE-2018-4159,5.5,1.8,LOW,NONE,REQUIRED
11932,CWE-125,CVE-2018-4160,7.8,1.8,LOW,NONE,REQUIRED
11933,CWE-119,CVE-2018-4161,8.8,2.8,LOW,NONE,REQUIRED
11934,CWE-119,CVE-2018-4162,8.8,2.8,LOW,NONE,REQUIRED
11935,CWE-119,CVE-2018-4163,8.8,2.8,LOW,NONE,REQUIRED
11936,NVD-CWE-noinfo,CVE-2018-4164,9.8,3.9,LOW,NONE,NONE
11937,CWE-119,CVE-2018-4165,8.8,2.8,LOW,NONE,REQUIRED
11938,CWE-362,CVE-2018-4166,7.0,1.0,HIGH,NONE,REQUIRED
11939,CWE-362,CVE-2018-4167,7.0,1.0,HIGH,NONE,REQUIRED
11940,CWE-200,CVE-2018-4168,4.6,0.9,LOW,NONE,NONE
11941,CWE-125,CVE-2018-4169,9.8,3.9,LOW,NONE,NONE
11942,CWE-522,CVE-2018-4170,7.8,1.8,LOW,LOW,NONE
11943,CWE-200,CVE-2018-4171,5.5,1.8,LOW,NONE,REQUIRED
11944,NVD-CWE-noinfo,CVE-2018-4172,4.6,0.9,LOW,NONE,NONE
11945,CWE-269,CVE-2018-4173,5.5,1.8,LOW,NONE,REQUIRED
11946,NVD-CWE-noinfo,CVE-2018-4174,5.9,2.2,HIGH,NONE,NONE
11947,CWE-20,CVE-2018-4175,7.8,1.8,LOW,NONE,REQUIRED
11948,CWE-20,CVE-2018-4176,5.5,1.8,LOW,NONE,REQUIRED
11949,CWE-732,CVE-2018-4178,5.5,1.8,LOW,LOW,NONE
11950,CWE-200,CVE-2018-4179,5.5,1.8,LOW,LOW,NONE
11951,NVD-CWE-noinfo,CVE-2018-4180,7.8,1.8,LOW,LOW,NONE
11952,NVD-CWE-noinfo,CVE-2018-4181,5.5,1.8,LOW,LOW,NONE
11953,NVD-CWE-noinfo,CVE-2018-4182,8.2,1.5,LOW,HIGH,NONE
11954,NVD-CWE-noinfo,CVE-2018-4183,8.2,1.5,LOW,HIGH,NONE
11955,NVD-CWE-noinfo,CVE-2018-4184,7.5,3.9,LOW,NONE,NONE
11956,CWE-200,CVE-2018-4185,7.5,3.9,LOW,NONE,NONE
11957,CWE-200,CVE-2018-4186,7.5,3.9,LOW,NONE,NONE
11958,CWE-20,CVE-2018-4187,6.5,2.8,LOW,NONE,REQUIRED
11959,CWE-20,CVE-2018-4188,6.5,2.8,LOW,NONE,REQUIRED
11960,CWE-119,CVE-2018-4189,9.8,3.9,LOW,NONE,NONE
11961,CWE-522,CVE-2018-4190,8.8,2.8,LOW,NONE,REQUIRED
11962,CWE-119,CVE-2018-4191,8.8,2.8,LOW,NONE,REQUIRED
11963,CWE-362,CVE-2018-4192,7.5,1.6,HIGH,NONE,REQUIRED
11964,CWE-119,CVE-2018-4193,7.8,1.8,LOW,NONE,REQUIRED
11965,CWE-125,CVE-2018-4194,8.8,2.8,LOW,NONE,REQUIRED
11966,CWE-20,CVE-2018-4195,6.5,2.8,LOW,NONE,REQUIRED
11967,CWE-200,CVE-2018-4196,7.8,1.8,LOW,NONE,REQUIRED
11968,CWE-416,CVE-2018-4197,8.8,2.8,LOW,NONE,REQUIRED
11969,CWE-20,CVE-2018-4198,5.5,1.8,LOW,NONE,REQUIRED
11970,CWE-119,CVE-2018-4199,8.8,2.8,LOW,NONE,REQUIRED
11971,CWE-416,CVE-2018-4200,8.8,2.8,LOW,NONE,REQUIRED
11972,CWE-119,CVE-2018-4201,8.8,2.8,LOW,NONE,REQUIRED
11973,CWE-20,CVE-2018-4202,5.9,2.2,HIGH,NONE,NONE
11974,CWE-125,CVE-2018-4203,7.5,3.9,LOW,NONE,NONE
11975,CWE-119,CVE-2018-4204,8.8,2.8,LOW,NONE,REQUIRED
11976,CWE-20,CVE-2018-4205,6.5,2.8,LOW,NONE,REQUIRED
11977,CWE-119,CVE-2018-4206,7.8,1.8,LOW,NONE,REQUIRED
11978,CWE-20,CVE-2018-4207,8.8,2.8,LOW,NONE,REQUIRED
11979,CWE-20,CVE-2018-4208,8.8,2.8,LOW,NONE,REQUIRED
11980,CWE-20,CVE-2018-4209,8.8,2.8,LOW,NONE,REQUIRED
11981,CWE-129,CVE-2018-4210,8.8,2.8,LOW,NONE,REQUIRED
11982,CWE-119,CVE-2018-4211,7.8,1.8,LOW,NONE,REQUIRED
11983,NVD-CWE-noinfo,CVE-2018-4212,8.8,2.8,LOW,NONE,REQUIRED
11984,CWE-20,CVE-2018-4213,8.8,2.8,LOW,NONE,REQUIRED
11985,CWE-119,CVE-2018-4214,8.8,2.8,LOW,NONE,REQUIRED
11986,CWE-119,CVE-2018-4215,7.8,1.8,LOW,NONE,REQUIRED
11987,NVD-CWE-noinfo,CVE-2018-4216,5.5,1.8,LOW,NONE,REQUIRED
11988,CWE-200,CVE-2018-4217,7.5,3.9,LOW,NONE,NONE
11989,CWE-416,CVE-2018-4218,8.8,2.8,LOW,NONE,REQUIRED
11990,CWE-704,CVE-2018-4219,7.8,1.8,LOW,NONE,REQUIRED
11991,CWE-732,CVE-2018-4220,8.8,2.8,LOW,NONE,REQUIRED
11992,CWE-200,CVE-2018-4221,7.5,3.9,LOW,NONE,NONE
11993,CWE-125,CVE-2018-4222,8.8,2.8,LOW,NONE,REQUIRED
11994,CWE-200,CVE-2018-4223,5.5,1.8,LOW,LOW,NONE
11995,CWE-200,CVE-2018-4224,5.5,1.8,LOW,LOW,NONE
11996,CWE-20,CVE-2018-4225,5.5,1.8,LOW,LOW,NONE
11997,CWE-200,CVE-2018-4226,5.5,1.8,LOW,LOW,NONE
11998,CWE-319,CVE-2018-4227,7.5,3.9,LOW,NONE,NONE
11999,CWE-362,CVE-2018-4228,7.0,1.0,HIGH,NONE,REQUIRED
12000,NVD-CWE-noinfo,CVE-2018-4229,10.0,3.9,LOW,NONE,NONE
12001,CWE-362,CVE-2018-4230,7.0,1.0,HIGH,NONE,REQUIRED
12002,NVD-CWE-noinfo,CVE-2018-4232,4.3,2.8,LOW,NONE,REQUIRED
12003,CWE-119,CVE-2018-4233,8.8,2.8,LOW,NONE,REQUIRED
12004,CWE-119,CVE-2018-4234,7.8,1.8,LOW,NONE,REQUIRED
12005,CWE-74,CVE-2018-4235,5.5,1.8,LOW,LOW,NONE
12006,CWE-119,CVE-2018-4236,7.8,1.8,LOW,NONE,REQUIRED
12007,NVD-CWE-noinfo,CVE-2018-4237,7.8,1.8,LOW,NONE,REQUIRED
12008,CWE-732,CVE-2018-4238,2.4,0.9,LOW,NONE,NONE
12009,CWE-200,CVE-2018-4239,4.6,0.9,LOW,NONE,NONE
12010,CWE-20,CVE-2018-4240,6.5,2.8,LOW,NONE,REQUIRED
12011,CWE-119,CVE-2018-4241,7.8,1.8,LOW,NONE,REQUIRED
12012,CWE-119,CVE-2018-4242,7.8,1.8,LOW,NONE,REQUIRED
12013,CWE-119,CVE-2018-4243,7.8,1.8,LOW,NONE,REQUIRED
12014,CWE-200,CVE-2018-4244,4.6,0.9,LOW,NONE,NONE
12015,CWE-704,CVE-2018-4246,8.8,2.8,LOW,NONE,REQUIRED
12016,CWE-20,CVE-2018-4247,6.5,2.8,LOW,NONE,REQUIRED
12017,CWE-125,CVE-2018-4248,7.5,3.9,LOW,NONE,NONE
12018,CWE-787,CVE-2018-4249,7.8,1.8,LOW,NONE,REQUIRED
12019,CWE-190,CVE-2018-4249,7.8,1.8,LOW,NONE,REQUIRED
12020,CWE-20,CVE-2018-4250,6.5,2.8,LOW,NONE,REQUIRED
12021,CWE-732,CVE-2018-4251,5.5,1.8,LOW,NONE,REQUIRED
12022,CWE-200,CVE-2018-4252,4.6,0.9,LOW,NONE,NONE
12023,CWE-125,CVE-2018-4253,5.5,1.8,LOW,NONE,REQUIRED
12024,CWE-20,CVE-2018-4254,9.8,3.9,LOW,NONE,NONE
12025,CWE-125,CVE-2018-4255,5.5,1.8,LOW,LOW,NONE
12026,CWE-125,CVE-2018-4256,5.5,1.8,LOW,LOW,NONE
12027,CWE-119,CVE-2018-4257,9.8,3.9,LOW,NONE,NONE
12028,CWE-119,CVE-2018-4258,9.8,3.9,LOW,NONE,NONE
12029,CWE-119,CVE-2018-4259,9.8,3.9,LOW,NONE,NONE
12030,CWE-20,CVE-2018-4260,6.5,2.8,LOW,NONE,REQUIRED
12031,CWE-119,CVE-2018-4261,8.8,2.8,LOW,NONE,REQUIRED
12032,CWE-119,CVE-2018-4262,8.8,2.8,LOW,NONE,REQUIRED
12033,CWE-119,CVE-2018-4263,8.8,2.8,LOW,NONE,REQUIRED
12034,CWE-119,CVE-2018-4264,8.8,2.8,LOW,NONE,REQUIRED
12035,CWE-119,CVE-2018-4265,8.8,2.8,LOW,NONE,REQUIRED
12036,CWE-362,CVE-2018-4266,5.9,2.2,HIGH,NONE,NONE
12037,CWE-119,CVE-2018-4267,8.8,2.8,LOW,NONE,REQUIRED
12038,CWE-119,CVE-2018-4268,9.8,3.9,LOW,NONE,NONE
12039,CWE-119,CVE-2018-4269,8.6,1.8,LOW,NONE,REQUIRED
12040,CWE-119,CVE-2018-4270,6.5,2.8,LOW,NONE,REQUIRED
12041,CWE-119,CVE-2018-4271,6.5,2.8,LOW,NONE,REQUIRED
12042,CWE-119,CVE-2018-4272,8.8,2.8,LOW,NONE,REQUIRED
12043,CWE-119,CVE-2018-4273,6.5,2.8,LOW,NONE,REQUIRED
12044,CWE-20,CVE-2018-4274,7.5,3.9,LOW,NONE,NONE
12045,CWE-119,CVE-2018-4275,8.6,1.8,LOW,NONE,REQUIRED
12046,CWE-476,CVE-2018-4276,7.5,3.9,LOW,NONE,NONE
12047,CWE-20,CVE-2018-4277,7.5,3.9,LOW,NONE,NONE
12048,NVD-CWE-noinfo,CVE-2018-4278,4.3,2.8,LOW,NONE,REQUIRED
12049,CWE-20,CVE-2018-4279,5.3,3.9,LOW,NONE,NONE
12050,CWE-119,CVE-2018-4280,7.8,1.8,LOW,NONE,REQUIRED
12051,CWE-119,CVE-2018-4281,9.8,3.9,LOW,NONE,NONE
12052,CWE-125,CVE-2018-4282,5.5,1.8,LOW,LOW,NONE
12053,CWE-125,CVE-2018-4283,5.5,1.8,LOW,LOW,NONE
12054,CWE-704,CVE-2018-4284,8.8,2.8,LOW,NONE,REQUIRED
12055,CWE-704,CVE-2018-4285,7.8,1.8,LOW,NONE,REQUIRED
12056,CWE-119,CVE-2018-4286,9.8,3.9,LOW,NONE,NONE
12057,CWE-119,CVE-2018-4287,9.8,3.9,LOW,NONE,NONE
12058,CWE-119,CVE-2018-4288,9.8,3.9,LOW,NONE,NONE
12059,CWE-200,CVE-2018-4289,5.5,1.8,LOW,NONE,REQUIRED
12060,NVD-CWE-noinfo,CVE-2018-4290,5.9,2.2,HIGH,NONE,NONE
12061,CWE-119,CVE-2018-4291,9.8,3.9,LOW,NONE,NONE
12062,CWE-20,CVE-2018-4293,5.3,3.9,LOW,NONE,NONE
12063,CWE-20,CVE-2018-4295,9.8,3.9,LOW,NONE,NONE
12064,NVD-CWE-noinfo,CVE-2018-4296,9.8,3.9,LOW,NONE,NONE
12065,NVD-CWE-noinfo,CVE-2018-4298,9.8,3.9,LOW,NONE,NONE
12066,CWE-119,CVE-2018-4299,8.8,2.8,LOW,NONE,REQUIRED
12067,CWE-200,CVE-2018-4300,5.9,2.2,HIGH,NONE,NONE
12068,CWE-20,CVE-2018-4303,7.8,1.8,LOW,NONE,REQUIRED
12069,CWE-20,CVE-2018-4304,5.0,1.3,LOW,LOW,REQUIRED
12070,CWE-20,CVE-2018-4305,6.5,2.8,LOW,NONE,NONE
12071,CWE-416,CVE-2018-4306,8.8,2.8,LOW,NONE,REQUIRED
12072,CWE-20,CVE-2018-4307,4.3,2.8,LOW,NONE,REQUIRED
12073,CWE-125,CVE-2018-4308,5.5,1.8,LOW,NONE,REQUIRED
12074,CWE-79,CVE-2018-4309,6.1,2.8,LOW,NONE,REQUIRED
12075,CWE-269,CVE-2018-4310,10.0,3.9,LOW,NONE,NONE
12076,CWE-200,CVE-2018-4311,8.1,2.8,LOW,NONE,REQUIRED
12077,CWE-416,CVE-2018-4312,8.8,2.8,LOW,NONE,REQUIRED
12078,CWE-20,CVE-2018-4313,5.5,1.8,LOW,LOW,NONE
12079,CWE-416,CVE-2018-4314,8.8,2.8,LOW,NONE,REQUIRED
12080,CWE-416,CVE-2018-4315,8.8,2.8,LOW,NONE,REQUIRED
12081,CWE-119,CVE-2018-4316,8.8,2.8,LOW,NONE,REQUIRED
12082,CWE-416,CVE-2018-4317,8.8,2.8,LOW,NONE,REQUIRED
12083,CWE-416,CVE-2018-4318,8.8,2.8,LOW,NONE,REQUIRED
12084,CWE-346,CVE-2018-4319,8.1,2.8,LOW,NONE,REQUIRED
12085,CWE-20,CVE-2018-4321,5.3,3.9,LOW,NONE,NONE
12086,CWE-20,CVE-2018-4322,3.3,1.8,LOW,LOW,NONE
12087,CWE-119,CVE-2018-4323,8.8,2.8,LOW,NONE,REQUIRED
12088,CWE-732,CVE-2018-4324,5.5,1.8,LOW,NONE,REQUIRED
12089,CWE-200,CVE-2018-4325,2.4,0.9,LOW,NONE,NONE
12090,CWE-119,CVE-2018-4326,7.8,1.8,LOW,NONE,REQUIRED
12091,CWE-119,CVE-2018-4327,7.8,1.8,LOW,NONE,REQUIRED
12092,CWE-119,CVE-2018-4328,8.8,2.8,LOW,NONE,REQUIRED
12093,CWE-19,CVE-2018-4329,7.5,3.9,LOW,NONE,NONE
12094,CWE-119,CVE-2018-4330,7.8,1.8,LOW,NONE,REQUIRED
12095,CWE-119,CVE-2018-4331,9.8,3.9,LOW,NONE,NONE
12096,CWE-119,CVE-2018-4332,9.8,3.9,LOW,NONE,NONE
12097,CWE-20,CVE-2018-4333,5.5,1.8,LOW,NONE,REQUIRED
12098,CWE-119,CVE-2018-4334,7.8,1.8,LOW,NONE,REQUIRED
12099,CWE-20,CVE-2018-4335,5.5,1.8,LOW,NONE,REQUIRED
12100,CWE-119,CVE-2018-4336,7.8,1.8,LOW,NONE,REQUIRED
12101,CWE-119,CVE-2018-4337,7.8,1.8,LOW,NONE,REQUIRED
12102,CWE-20,CVE-2018-4338,5.5,1.8,LOW,NONE,REQUIRED
12103,NVD-CWE-noinfo,CVE-2018-4339,5.5,1.8,LOW,LOW,NONE
12104,CWE-119,CVE-2018-4340,7.8,1.8,LOW,NONE,REQUIRED
12105,CWE-119,CVE-2018-4341,8.6,1.8,LOW,NONE,REQUIRED
12106,CWE-20,CVE-2018-4342,5.5,1.8,LOW,LOW,NONE
12107,CWE-119,CVE-2018-4343,7.8,1.8,LOW,NONE,REQUIRED
12108,CWE-119,CVE-2018-4344,7.8,1.8,LOW,NONE,REQUIRED
12109,CWE-79,CVE-2018-4345,6.1,2.8,LOW,NONE,REQUIRED
12110,CWE-20,CVE-2018-4346,5.5,1.8,LOW,NONE,REQUIRED
12111,CWE-416,CVE-2018-4347,7.8,1.8,LOW,NONE,REQUIRED
12112,CWE-20,CVE-2018-4348,5.5,1.8,LOW,LOW,NONE
12113,CWE-119,CVE-2018-4350,7.8,1.8,LOW,NONE,REQUIRED
12114,CWE-665,CVE-2018-4351,5.5,1.8,LOW,NONE,REQUIRED
12115,CWE-200,CVE-2018-4352,3.3,1.8,LOW,LOW,NONE
12116,CWE-20,CVE-2018-4353,9.8,3.9,LOW,NONE,NONE
12117,CWE-119,CVE-2018-4354,8.6,1.8,LOW,NONE,REQUIRED
12118,CWE-200,CVE-2018-4355,5.5,1.8,LOW,NONE,REQUIRED
12119,NVD-CWE-noinfo,CVE-2018-4356,5.3,3.9,LOW,NONE,NONE
12120,CWE-119,CVE-2018-4357,7.8,1.8,LOW,NONE,REQUIRED
12121,CWE-119,CVE-2018-4358,8.8,2.8,LOW,NONE,REQUIRED
12122,CWE-119,CVE-2018-4359,8.8,2.8,LOW,NONE,REQUIRED
12123,CWE-119,CVE-2018-4360,8.8,2.8,LOW,NONE,REQUIRED
12124,NVD-CWE-noinfo,CVE-2018-4361,8.8,2.8,LOW,NONE,REQUIRED
12125,CWE-20,CVE-2018-4362,6.5,2.8,LOW,NONE,REQUIRED
12126,CWE-20,CVE-2018-4363,5.5,1.8,LOW,NONE,REQUIRED
12127,CWE-125,CVE-2018-4365,5.5,1.8,LOW,NONE,REQUIRED
12128,CWE-119,CVE-2018-4366,7.5,3.9,LOW,NONE,NONE
12129,CWE-119,CVE-2018-4367,9.8,3.9,LOW,NONE,NONE
12130,CWE-20,CVE-2018-4368,6.5,2.8,LOW,LOW,NONE
12131,CWE-20,CVE-2018-4369,7.5,3.9,LOW,NONE,NONE
12132,CWE-125,CVE-2018-4371,7.8,1.8,LOW,NONE,REQUIRED
12133,CWE-119,CVE-2018-4372,8.8,2.8,LOW,NONE,REQUIRED
12134,CWE-119,CVE-2018-4373,8.8,2.8,LOW,NONE,REQUIRED
12135,CWE-79,CVE-2018-4374,6.1,2.8,LOW,NONE,REQUIRED
12136,CWE-119,CVE-2018-4375,8.8,2.8,LOW,NONE,REQUIRED
12137,CWE-119,CVE-2018-4376,8.8,2.8,LOW,NONE,REQUIRED
12138,CWE-79,CVE-2018-4377,6.1,2.8,LOW,NONE,REQUIRED
12139,CWE-119,CVE-2018-4378,8.8,2.8,LOW,NONE,REQUIRED
12140,CWE-200,CVE-2018-4379,5.5,1.8,LOW,LOW,NONE
12141,CWE-200,CVE-2018-4380,5.5,1.8,LOW,LOW,NONE
12142,CWE-400,CVE-2018-4381,5.5,1.8,LOW,NONE,REQUIRED
12143,CWE-119,CVE-2018-4382,8.8,2.8,LOW,NONE,REQUIRED
12144,CWE-119,CVE-2018-4383,7.8,1.8,LOW,NONE,REQUIRED
12145,CWE-119,CVE-2018-4384,7.8,1.8,LOW,NONE,REQUIRED
12146,CWE-20,CVE-2018-4385,6.5,2.8,LOW,NONE,REQUIRED
12147,CWE-119,CVE-2018-4386,8.8,2.8,LOW,NONE,REQUIRED
12148,CWE-200,CVE-2018-4387,2.4,0.9,LOW,NONE,NONE
12149,CWE-200,CVE-2018-4388,4.6,0.9,LOW,NONE,NONE
12150,CWE-20,CVE-2018-4389,6.5,2.8,LOW,NONE,REQUIRED
12151,NVD-CWE-noinfo,CVE-2018-4390,5.5,1.8,LOW,NONE,REQUIRED
12152,NVD-CWE-noinfo,CVE-2018-4391,5.5,1.8,LOW,NONE,REQUIRED
12153,CWE-119,CVE-2018-4392,8.8,2.8,LOW,NONE,REQUIRED
12154,CWE-119,CVE-2018-4393,7.8,1.8,LOW,NONE,REQUIRED
12155,CWE-119,CVE-2018-4394,7.8,1.8,LOW,NONE,REQUIRED
12156,CWE-20,CVE-2018-4395,5.5,1.8,LOW,LOW,NONE
12157,CWE-20,CVE-2018-4396,5.5,1.8,LOW,NONE,REQUIRED
12158,CWE-20,CVE-2018-4397,4.3,2.8,LOW,LOW,NONE
12159,CWE-20,CVE-2018-4398,7.5,3.9,LOW,NONE,NONE
12160,CWE-20,CVE-2018-4399,5.5,1.8,LOW,NONE,REQUIRED
12161,CWE-20,CVE-2018-4400,5.5,1.8,LOW,NONE,REQUIRED
12162,CWE-119,CVE-2018-4401,7.8,1.8,LOW,NONE,REQUIRED
12163,CWE-119,CVE-2018-4402,7.8,1.8,LOW,NONE,REQUIRED
12164,CWE-200,CVE-2018-4403,5.5,1.8,LOW,NONE,REQUIRED
